Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,QATAR,"Mar 20, 16:16",9.3,25.85584 N/51.85954 E,15.3°, 0.3 kn,2021-03-21,"Mar 21, 2021 09:35 UTC"
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,GI GIB,"Mar 22, 05:06",9.0,37.68819 N/9.90282 W,167.2°, 17.5 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"PYEONGTAEK,S.KOREA","Mar 29, 21:00",12.0,26.48562 N/56.34043 E,59.0°, 18.6 kn,2021-03-21,"Mar 14, 2021 19:16 UTC"
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,SINGAPORE PGBG,"Mar 21, 04:04",9.5,1.16739 N/103.70986 E,250.3°, 0.3 kn,2021-03-21,"Mar 21, 2021 10:20 UTC"
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,QA RLF>GB MLF,"Mar 23, 00:01",12.0,47.53857 N/8.14713 W,15.0°, 4.4 kn,2021-03-21,"Mar 21, 2021 10:07 UTC"
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,FAR EAST,"Mar 27, 21:11",12.2,1.42178 N/104.49813 E,49.0°, 16.0 kn,2021-03-21,"Mar 21, 2021 10:00 UTC"
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,UK>MLF,"Mar 26, 01:01",12.2,37.6182 N/10.64776 E,289.0°, 15.2 kn,2021-03-21,"Mar 20, 2021 16:35 UTC"
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,QATAR RASLAFFAN,"Mar 20, 08:08",9.4,25.93746 N/51.6139 E,279.9°, 0.6 kn,2021-03-21,"Mar 21, 2021 01:15 UTC"
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,QATAR,"Mar 28, 21:21",9.5,3.72818 N/100.05654 E,314.0°, 15.9 kn,2021-03-21,"Mar 20, 2021 07:28 UTC"
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,SINGAPORE,"Mar 27, 04:04",9.2,37.33907 N/126.43462 E,273.8°, 14.4 kn,2021-03-21,"Mar 20, 2021 08:44 UTC"
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,QA RLF>TH MTP,"Mar 29, 23:00",12.0,24.43099 N/58.23548 E,129.9°, 18.9 kn,2021-03-21,"Mar 20, 2021 06:53 UTC"
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,RED SEA,"Mar 22, 20:20",12.1,22.02198 N/37.82816 E,331.9°, 19.1 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,MILFORD HAVEN UK,"Mar 28, 00:00",12.0,35.07815 N/20.7708 E,286.8°, 16.3 kn,2021-03-21,"Mar 21, 2021 06:24 UTC"
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,US EAST COAST,"Apr 19, 01:00",9.8,52.43684 N/3.99261 E,87.7°, 6.4 kn,2021-03-21,"Mar 20, 2021 13:22 UTC"
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,US FPO,"Mar 25, 11:00",9.5,25.66335 N/94.52708 W,270.0°, 13.7 kn,2021-03-21,"Mar 21, 2021 09:58 UTC"
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,AU DRW,"Mar 21, 20:30",9.9,22.13608 N/120.16276 E,168.4°, 14.8 kn,2021-03-21,"Mar 14, 2021 06:32 UTC"
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,PA_CTB>JP_CTA,"Apr 7, 20:00",11.5,8.38108 N/79.44932 W,180.4°, 16.4 kn,2021-03-21,"Mar 17, 2021 01:17 UTC"
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,JP SSB,"Mar 5, 23:00",9.7,34.3931 N/139.41111 E,199.3°, 19.8 kn,2021-03-21,"Feb 26, 2021 15:37 UTC"
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,SIN OPL,"Mar 25, 00:01",10.1,37.04399 N/126.24908 E,239.5°, 10.6 kn,2021-03-21,"Mar 5, 2021 02:54 UTC"
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,>JP SOD,"Mar 24, 22:00",11.5,19.9808 S/116.95902 E,28.3°, 17.4 kn,2021-03-21,"Mar 15, 2021 17:29 UTC"
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,FOR ORDERS,"Mar 22, 11:00",9.6,24.19512 N/87.43176 W,308.0°, 17.4 kn,2021-03-21,"Mar 20, 2021 17:23 UTC"
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,JP KWS,"Mar 23, 22:30",11.7,20.49526 N/110.06399 W,298.3°, 16.7 kn,2021-03-21,"Mar 8, 2021 16:32 UTC"
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,QA RLF,"Mar 17, 16:00",9.5,25.80203 N/51.81338 E,89.0°, 0.3 kn,2021-03-21,"Mar 21, 2021 10:09 UTC"
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,ZHEJIANG,"Mar 25, 22:00",12.0,1.4671 N/104.5441 E,48.4°, 15.5 kn,2021-03-21,"Mar 20, 2021 06:11 UTC"
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,QA RLF,"Mar 26, 21:00",9.8,19.33911 N/39.41886 E,152.3°, 19.2 kn,2021-03-21,"Mar 21, 2021 07:36 UTC"
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,KAWAGOE,"Mar 28, 21:00",12.0,1.43571 N/104.51156 E,53.9°, 14.6 kn,2021-03-21,"Mar 19, 2021 02:41 UTC"
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006, SKA- PORT SAID,"Mar 27, 19:02",9.2,35.92246 N/6.95504 W,98.0°, 14.2 kn,2021-03-21,"Mar 21, 2021 10:24 UTC"
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,GB MLF,"Mar 21, 00:00",12.0,51.69829 N/5.08564 W,193.8°, 0.0 kn,2021-03-21,"Mar 21, 2021 10:23 UTC"
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,SPORE,"Mar 19, 05:05",9.8,37.74959 N/138.32621 E,247.4°, 18.8 kn,2021-03-21,"Mar 19, 2021 08:25 UTC"
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,BE ZEE>GI GIB,"Mar 23, 23:23",9.6,47.2486 N/7.08272 W,220.0°, 15.7 kn,2021-03-21,"Mar 21, 2021 10:05 UTC"
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,JP FTS>SG JUR,"Mar 19, 03:03",9.4,34.56977 N/139.59716 E,207.3°, 17.7 kn,2021-03-21,"Mar 15, 2021 10:22 UTC"
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,KW MEA,"Mar 23, 03:03",10.9,25.81977 N/51.76177 E,207.7°, 0.2 kn,2021-03-21,"Mar 21, 2021 08:15 UTC"
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,GIBRALTAR,"Mar 21, 09:09",9.3,36.12739 N/5.3819 W,316.7°, 0.2 kn,2021-03-21,"Mar 21, 2021 10:24 UTC"
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,AU_ASB,"Mar 21, 00:01",9.3,22.13877 N/120.10665 E,156.7°, 8.4 kn,2021-03-21,"Mar 5, 2021 05:13 UTC"
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,JP YOK,"Mar 24, 22:00",11.5,12.32492 S/130.71138 E,337.7°, 5.3 kn,2021-03-21,"Mar 17, 2021 13:04 UTC"
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,JP SBK,"Mar 23, 01:30",11.9,12.31995 S/130.68153 E,295.4°, 10.7 kn,2021-03-21,"Mar 14, 2021 06:12 UTC"
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,CN ZUH,"Mar 31, 14:01",11.3,23.18211 S/151.72677 E,65.7°, 12.8 kn,2021-03-21,"Mar 17, 2021 15:48 UTC"
PACIFIC MIMOSA,9743875,431778000,Japan,288,49,136716,86497,AU DRW,"Mar 24, 19:30",9.5,37.71926 N/123.15101 E,144.4°, 19.8 kn,2021-03-21,"Mar 11, 2021 18:09 UTC"
LNG MARS,9645748,431177000,Japan,288,49,136710,86161,CN TAO,"Mar 19, 23:30",11.1,35.57579 N/119.76047 E,343.9°, 0.0 kn,2021-03-21,"Mar 20, 2021 02:44 UTC"
FRAIHA,9360817,538003101,Marshall Islands,306,50,136685,121914,YUNG AN,"Apr 1, 01:00",11.9,17.77552 N/67.24233 E,123.0°, 16.6 kn,2021-03-21,"Mar 20, 2021 18:34 UTC"
MURWAB,9360805,538003100,Marshall Islands,315,50,136685,121843,RAS LAFFAN,"Mar 26, 06:05",12.1,21.67017 N/72.50962 E,96.0°, 0.0 kn,2021-03-21,"Mar 21, 2021 06:31 UTC"
UMM AL AMAD,9360829,538003073,Marshall Islands,315,50,136685,121730,GB MLF,"Mar 30, 23:00",12.2,28.73015 N/33.00883 E,335.0°, 13.3 kn,2021-03-21,"Mar 21, 2021 08:41 UTC"
AL AAMRIYA,9338266,538003099,Marshall Islands,315,50,136685,121935,GI GIB,"Mar 23, 06:00",9.4,45.37853 N/9.20351 W,196.0°, 19.9 kn,2021-03-21,"Mar 21, 2021 10:24 UTC"
AL ORAIQ,9360790,538003072,Marshall Islands,315,50,136685,122079,"CHITA,JAPAN","Mar 22, 23:00",11.8,1.35595 N/104.42365 E,53.0°, 16.7 kn,2021-03-21,"Mar 13, 2021 06:47 UTC"
AL GHARRAFA,9337717,538002920,Marshall Islands,315,50,136410,106898,QATAR,"Mar 24, 03:00",9.6,17.23753 N/40.43743 E,147.8°, 18.4 kn,2021-03-21,"Mar 18, 2021 18:15 UTC"
TEMBEK,9337731,538002921,Marshall Islands,315,50,136410,106896,QA RLF,"Mar 23, 21:21",9.8,18.8084 N/64.02104 E,317.7°, 17.4 kn,2021-03-21,"Mar 21, 2021 08:30 UTC"
AL GATTARA,9337705,538002917,Marshall Islands,315,50,136410,106898,QATAR,"Mar 25, 09:09",9.8,3.49284 N/100.37875 E,310.0°, 18.9 kn,2021-03-21,"Mar 17, 2021 10:47 UTC"
AL HAMLA,9337743,538002922,Marshall Islands,315,50,136410,106983,PL SWI,"Apr 1, 04:00",12.1,34.26073 N/23.71908 E,286.1°, 17.1 kn,2021-03-21,"Mar 21, 2021 10:23 UTC"
AL UTOURIYA,9360867,538003020,Marshall Islands,315,50,136355,104561,QA RLF>JP HIM,"Mar 27, 22:00",12.1,1.39864 N/104.46024 E,50.0°, 15.0 kn,2021-03-21,"Mar 16, 2021 06:32 UTC"
AL SAHLA,9360855,538003019,Marshall Islands,315,50,136355,104666,QA RLF>CN ZOS,"Apr 1, 16:16",12.2,16.27707 N/67.94124 E,133.1°, 17.3 kn,2021-03-21,"Mar 20, 2021 13:15 UTC"
AL THUMAMA,9360843,538003018,Marshall Islands,315,50,136355,104701,QA RLF>IN HZA,"Mar 24, 18:30",12.1,26.16931 N/52.85278 E,89.6°, 16.2 kn,2021-03-21,"Mar 21, 2021 10:21 UTC"
MESAIMEER,9337729,538003360,Marshall Islands,315,50,136168,107160,INDIA,"Mar 22, 18:31",10.6,24.84057 N/57.76837 E,118.2°, 18.7 kn,2021-03-21,"Mar 20, 2021 05:44 UTC"
AL REKAYYAT,9397339,538003347,Marshall Islands,315,50,136168,107160,ALGECIRAS,"Mar 23, 06:06",9.5,44.93168 N/9.46303 W,199.0°, 18.7 kn,2021-03-21,"Mar 21, 2021 10:24 UTC"
AL KHARAITIYAT,9397327,538003352,Marshall Islands,315,50,136168,107153,QATAR,"Mar 25, 22:22",9.7,3.37371 N/100.42433 E,315.0°, 20.0 kn,2021-03-21,"Mar 17, 2021 17:13 UTC"
LNG SAKURA,9774135,311000760,Bahamas,300,49,135977,82137,NIPA ANCHORAGE,"Mar 20, 23:00",9.8,1.15735 N/103.62121 E,277.0°, 0.1 kn,2021-03-21,"Mar 21, 2021 10:21 UTC"
SOHSHU MARU,9791212,311000580,Bahamas,300,49,135951,82254,PA BLB,"Mar 22, 12:00",9.8,34.6337 N/139.08035 E,209.2°, 15.6 kn,2021-03-21,"Feb 24, 2021 11:02 UTC"
SHINSHU MARU,9791200,311000845,Bahamas,300,49,135951,82287,AU BWB,"Mar 29, 21:00",9.7,34.39079 N/137.14658 E,142.3°, 14.6 kn,2021-03-21,"Mar 19, 2021 05:59 UTC"
AL KHUWAIR,9360908,311000140,Bahamas,315,50,135848,109555,PL SWIN,"Mar 21, 05:00",12.4,54.11925 N/14.21456 E,160.8°, 2.4 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
AL KHARSAAH,9360881,309333000,Bahamas,315,50,135848,109484,RAS LAFFAN,"Mar 19, 16:00",9.5,25.7697 N/51.81394 E,97.2°, 0.2 kn,2021-03-21,"Mar 21, 2021 10:23 UTC"
AL HUWAILA,9360879,309255000,Bahamas,315,50,135848,109503,QA RLF,"Mar 31, 06:00",9.3,1.22256 N/103.65666 E,234.1°, 0.3 kn,2021-03-21,"Mar 21, 2021 10:18 UTC"
AL SHAMAL,9360893,309781000,Bahamas,315,50,135848,109662,RAS LAFFAN,"Mar 10, 05:00",11.0,25.82104 N/51.87781 E,335.2°, 0.0 kn,2021-03-21,"Mar 21, 2021 10:12 UTC"
SERI CAMAR,9714305,533130687,Malaysia,290,49,133948,84295,PGG,"Mar 18, 07:00",11.2,1.41323 N/104.48847 E,51.0°, 17.5 kn,2021-03-21,"Mar 19, 2021 08:59 UTC"
SERI CEMARA,9756389,533130753,Malaysia,290,49,133948,84291,MY BKI,"Mar 23, 04:00",9.7,34.37208 N/139.50005 E,212.3°, 12.8 kn,2021-03-21,"Mar 17, 2021 03:30 UTC"
SERI CAMELLIA,9714276,533130463,Malaysia,290,46,133948,84333,MY BKI(KK OPL),"Mar 15, 08:00",11.4,6.1105 N/116.06501 E,53.2°, 0.0 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
SERI CENDERAWASIH,9714288,533180210,Malaysia,290,46,133948,84303,CN YSN,"Mar 24, 00:00",11.1,23.18651 S/151.69723 E,62.6°, 15.1 kn,2021-03-21,"Mar 10, 2021 23:08 UTC"
SERI CEMPAKA,9714290,533130607,Malaysia,290,49,133948,84311,JP,"Mar 21, 03:30",11.5,34.99646 N/139.69406 E,202.3°, 7.7 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
RUDOLF SAMOYLOVICH,9750713,311000627,Bahamas,299,50,128975,96703,RUSAB>BEZEE,"Mar 23, 08:00",11.9,71.59395 N/23.04326 E,258.3°, 14.5 kn,2021-03-21,"Mar 20, 2021 00:00 UTC"
EDUARD TOLL,9750696,311000548,Bahamas,299,50,128975,96840,RUSAB,"Mar 25, 02:00",11.1,68.66759 N/11.69331 E,60.9°, 17.5 kn,2021-03-21,"Mar 21, 2021 10:26 UTC"
NIKOLAY YEVGENOV,9750725,311000631,Bahamas,299,50,128969,96821,RUSAB,"Mar 24, 03:00",10.9,71.72764 N/30.5198 E,87.3°, 18.7 kn,2021-03-21,"Mar 21, 2021 00:00 UTC"
YAKOV GAKKEL,9750672,311000634,Bahamas,299,50,128969,96839,FRBES,"Mar 14, 12:00",8.5,48.3861 N/4.45687 W,-, 0.0 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
GEORGIY USHAKOV,9750749,311000633,Bahamas,299,50,128969,96796,RUMMK,"Mar 21, 09:00",11.9,71.41869 N/32.29724 E,97.5°, 17.6 kn,2021-03-21,"Mar 12, 2021 19:28 UTC"
VLADIMIR VORONIN,9750737,311000632,Bahamas,299,50,128969,96840,RUSAB,"Mar 26, 19:00",11.0,59.25259 N/6.48527 W,21.4°, 20.0 kn,2021-03-21,"Mar 20, 2021 09:45 UTC"
MARVEL EAGLE,9759240,374375000,Panama,300,49,128917,83571,PABLB,"Mar 19, 15:00",9.6,9.84736 N/79.70906 W,7.3°, 15.3 kn,2021-03-21,"Mar 20, 2021 23:24 UTC"
MARVEL PELICAN,9759252,356051000,Panama,300,49,128917,83636,...,"Apr 10, 00:01",9.5,33.72662 N/17.29342 W,260.2°, 12.9 kn,2021-03-21,"Mar 13, 2021 11:45 UTC"
VLADIMIR RUSANOV,9750701,477150100,Hong Kong,299,50,128806,96844,BEZEE,"Mar 27, 15:00",12.0,71.74258 N/21.09294 E,41.2°, 18.4 kn,2021-03-21,"Mar 14, 2021 19:43 UTC"
CHRISTOPHE DE MARGERIE,9737187,212611000,Cyprus,299,50,128806,96779,FR MTX / MONTOIR,"Mar 19, 20:00",11.8,47.29903 N/2.14236 W,349.9°, 0.1 kn,2021-03-21,"Mar 21, 2021 07:53 UTC"
FEDOR LITKE,9768370,212660000,Cyprus,299,50,128806,96839,RUSAB,"Mar 20, 11:00",11.0,70.49637 N/33.09846 E,104.3°, 19.2 kn,2021-03-21,"Mar 16, 2021 15:14 UTC"
GEORGIY BRUSILOV,9768382,212770000,Cyprus,299,50,128806,96847,FRMTX,"Mar 24, 22:00",12.0,67.90647 N/9.58499 E,203.9°, 16.7 kn,2021-03-21,"Mar 21, 2021 02:17 UTC"
VLADIMIR VIZE,9750658,477194200,Hong Kong,299,50,128806,96851,GB IOG,"Mar 22, 00:01",12.0,54.79063 N/3.50167 E,183.0°, 16.3 kn,2021-03-21,"Mar 21, 2021 09:52 UTC"
BORIS VILKITSKY,9768368,212654000,Cyprus,299,50,128806,96958,ESFRO,"Mar 28, 17:00",12.0,71.2176 N/32.28235 E,92.6°, 18.3 kn,2021-03-21,"Mar 14, 2021 08:34 UTC"
LNG FUKUROKUJU,9666986,311000365,Bahamas,293,49,127242,83809,BDCGP,"Mar 20, 20:00",11.6,30.55087 N/32.30879 E,158.5°, 9.0 kn,2021-03-21,"Mar 21, 2021 10:20 UTC"
CASTILLO DE CALDELAS,9742819,248720000,Malta,297,49,126004,93241,SABINE PASS,"Mar 22, 00:00",10.6,26.88364 N/91.62095 W,319.7°, 16.5 kn,2021-03-21,"Mar 21, 2021 10:18 UTC"
CASTILLO DE MERIDA,9742807,248516000,Malta,287,49,126004,93241,IN DAH,"Apr 19, 18:30",11.6,25.93951 N/90.31663 W,119.4°, 18.2 kn,2021-03-21,"Mar 14, 2021 19:02 UTC"
PACIFIC ARCADIA,9621077,311072200,Bahamas,288,49,123005,78311,PRIGORODNOYE RU,"Mar 24, 22:00",9.6,35.30194 N/141.41204 E,62.9°, 13.7 kn,2021-03-21,"Mar 18, 2021 17:03 UTC"
NIKOLAY ZUBOV,9768526,209351000,Cyprus,299,50,122806,96865,RUSAB,"Mar 24, 12:00",10.6,71.52401 N/27.57593 E,104.9°, 18.1 kn,2021-03-21,"Mar 21, 2021 00:00 UTC"
BORIS DAVYDOV,9768394,209356000,Cyprus,299,50,122806,96765,RUSAB,"Mar 22, 21:30",10.8,72.109 N/22.44771 E,41.9°, 19.9 kn,2021-03-21,"Mar 19, 2021 06:11 UTC"
CYGNUS PASSAGE,9376294,309739000,Bahamas,288,49,122444,79555,>RU PGN,"Apr 5, 20:00",9.3,34.3412 N/140.49013 E,118.0°, 11.9 kn,2021-03-21,"Mar 20, 2021 09:35 UTC"
ALTO ACRUX,9343106,308592000,Bahamas,288,49,122361,80229,CN TXG,"Mar 20, 23:30",11.1,38.75412 N/117.71487 E,286.0°, 0.0 kn,2021-03-21,"Mar 21, 2021 03:10 UTC"
ADRIANO KNUTSEN,9831220,224983000,Spain,299,48,122261,96354,REUNION CREW CHANGES,"Mar 21, 07:00",9.6,20.70119 S/55.25172 E,175.0°, 10.6 kn,2021-03-21,"Mar 21, 2021 10:26 UTC"
TRAIANO KNUTSEN,9854765,257575000,Norway,299,48,122261,95870,BRRJO,"Apr 8, 03:00",11.6,25.65776 N/92.10556 W,116.2°, 14.9 kn,2021-03-21,"Mar 21, 2021 05:33 UTC"
GRAND ANIVA,9338955,212883000,Cyprus,288,49,122239,74044,RU PGN,"Mar 11, 06:00",9.8,38.63245 N/138.83942 E,334.7°, 13.6 kn,2021-03-21,"Mar 9, 2021 03:38 UTC"
PRISM BRILLIANCE,9810551,371086000,Panama,299,48,122166,97494,USFPO,"Apr 23, 05:00",9.7,6.40932 S/105.24051 E,245.9°, 15.9 kn,2021-03-21,"Mar 19, 2021 18:15 UTC"
PRISM AGILITY,9810549,372487000,Panama,299,48,122166,97494,USNSS,"Mar 30, 05:01",9.3,29.43225 N/93.63228 W,239.0°, 0.0 kn,2021-03-21,"Mar 21, 2021 10:19 UTC"
ENERGY UNIVERSE,9758844,354114000,Panama,300,49,122142,88700,PACIFIC FOR ORDERS,"Apr 9, 00:01",11.6,8.4215 N/79.42991 W,174.4°, 19.5 kn,2021-03-21,"Mar 21, 2021 01:19 UTC"
ENERGY LIBERTY,9736092,431540000,Japan,300,49,121982,88676,KR TAN,"Mar 30, 04:00",11.5,8.44719 N/79.45089 W,181.7°, 17.9 kn,2021-03-21,"Mar 3, 2021 00:31 UTC"
ENERGY GLORY,9752565,431776000,Japan,300,49,121981,88677,AU DRW,"Mar 24, 06:30",9.7,29.89434 S/31.10999 E,30.4°, 3.6 kn,2021-03-21,"Mar 1, 2021 07:55 UTC"
LNG JUPITER,9341689,311019200,Bahamas,290,49,121675,81950,ID JKT,"Mar 28, 00:01",10.1,14.36933 N/120.48769 E,230.8°, 13.9 kn,2021-03-21,"Mar 21, 2021 08:39 UTC"
ARCTIC PRINCESS,9271248,257739000,Norway,288,49,121597,84878,EGSCN,"Mar 31, 15:00",10.0,14.06679 N/86.96443 E,212.5°, 19.0 kn,2021-03-21,"Mar 21, 2021 04:49 UTC"
ARCTIC LADY,9284192,257742000,Norway,288,49,121597,84878,"BETHIOUA, ALGERIA","Mar 21, 05:00",9.3,36.00119 N/0.31452 W,305.0°, 2.9 kn,2021-03-21,"Mar 18, 2021 22:38 UTC"
LNG BARKA,9341299,308579000,Bahamas,290,49,121514,82308,KR BOR,"Mar 18, 21:00",11.8,30.08486 N/125.30546 E,351.3°, 14.7 kn,2021-03-21,"Mar 17, 2021 21:13 UTC"
ENERGY CONFIDENCE,9405588,432694000,Japan,290,49,121413,75891,AU BWB,"Mar 22, 02:00",9.7,34.46926 N/139.45712 E,203.4°, 14.3 kn,2021-03-21,"Mar 8, 2021 10:23 UTC"
GASLOG WARSAW,9816763,241662000,Greece,297,47,120859,92996,US CRP,"Mar 18, 15:00",9.1,27.81085 N/96.87055 W,322.9°, 0.0 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
GASLOG WINDSOR,9819650,310787000,Bermuda,297,47,120709,98000,SABINE PASS,"Mar 21, 05:00",9.4,29.4275 N/93.64621 W,171.2°, 0.0 kn,2021-03-21,"Mar 21, 2021 07:56 UTC"
GRAND MEREYA,9338929,209856000,Cyprus,290,49,120525,74497,RU PGN,"Mar 31, 00:00",9.7,31.3589 N/127.87286 E,355.3°, 7.8 kn,2021-03-21,"Mar 17, 2021 05:25 UTC"
GAIL BHUWAN,9877145,209997000,Cyprus,-,-,119891,98300,ANCH OFF COVE POINT,"Mar 20, 05:00",9.7,37.28786 N/76.11316 W,43.6°, 16.2 kn,2021-03-21,"Mar 20, 2021 01:06 UTC"
LNG SCHNEEWEISSCHEN,9771913,357315000,Panama,298,48,119660,98747,ES FRO,"Mar 26, 00:01",11.5,26.14375 N/79.41111 W,55.2°, 20.0 kn,2021-03-21,"Mar 17, 2021 09:23 UTC"
ENERGY FRONTIER,9245720,432420000,Japan,290,49,119393,73795,JP HTC,"Mar 22, 22:30",11.3,34.81759 N/140.95139 E,256.8°, 7.0 kn,2021-03-21,"Mar 21, 2021 10:26 UTC"
ENERGY ADVANCE,9269180,432495000,Japan,290,49,119233,73739,JP YOK XX OHG,"Mar 28, 22:30",11.2,20.18383 S/116.8389 E,32.5°, 17.0 kn,2021-03-21,"Mar 20, 2021 09:29 UTC"
LNG DREAM,9277620,309065000,Bahamas,290,49,118876,80889,RU PGN,"Mar 20, 05:00",9.9,34.98924 N/141.34364 E,75.7°, 11.1 kn,2021-03-21,"Mar 6, 2021 09:54 UTC"
ENERGY NAVIGATOR,9355264,432634000,Japan,290,49,118842,73640,JP HKP OFF,"Mar 24, 23:00",9.7,35.76639 N/141.32338 E,4.0°, 14.6 kn,2021-03-21,"Mar 19, 2021 05:54 UTC"
TAITAR NO. 4,9403657,351767000,Panama,290,49,118634,77053,TW TXG>OM SOH,"Mar 22, 08:00",9.9,17.75145 N/66.34019 E,312.5°, 16.4 kn,2021-03-21,"Mar 20, 2021 10:53 UTC"
TAITAR NO. 1,9403669,371846000,Panama,290,49,118634,77089,"TAI CHUNG,TAIWAN","Apr 2, 22:00",11.4,26.14384 N/55.40262 E,61.1°, 19.5 kn,2021-03-21,"Mar 21, 2021 06:48 UTC"
TAITAR NO. 3,9403671,372195000,Panama,290,49,118634,77089,TAICHUNG,"Mar 23, 22:00",11.4,1.42501 N/104.48931 E,57.0°, 17.4 kn,2021-03-21,"Mar 19, 2021 12:18 UTC"
TAITAR NO. 2,9403645,372307000,Panama,290,49,118634,77089,TAICHUNG TAIWAN,"Mar 17, 22:00",11.3,22.33516 N/119.72732 E,189.8°, 18.8 kn,2021-03-21,"Mar 19, 2021 09:58 UTC"
